Timestamp,State of Residence,LGA,Town,Accommodation Type,Type of Apartment,Cost of Apartment,One Room,Two Rooms,Self Contain,One Bedroom Flat,Two Bedroom Flat,Three Bedroom Flat,Four Bedroom Flat,Five Bedroom Flat,One Bedroom Duplex,Two Bedroom Duplex,Three Bedroom Duplex,Four Bedroom Duplex,Five Bedroom Duplex
3/22/2024,Rivers,Obio/Akpor,Oroazi,Rented,Self Contain,250000,120000,96000,200000,250000,300000,350000,400000,500000,1000000,1200000,1500000,1800000,2000000
3/22/2024,Rivers,Obio/Akpor,Elelenwo,Rented,Three Bedroom Flat,850000,80000,160000,150000,300000,600000,750000,900000,1000000,600000,800000,1200000,1500000,2000000
3/22/2024,Rivers,Port Harcourt City,D-Line,Rented,One Bedroom Flat,450000,80000,160000,300000,500000,800000,1000000,1200000,1400000,1800000,2200000,2600000,3200000,3800000
3/22/2024,Rivers,Obio/Akpor,Woji,Rented,One Bedroom Flat,500000,80000,150000,350000,500000,700000,1000000,1200000,1500000,900000,1200000,1500000,2000000,2500000
3/22/2024,Rivers,Obio/Akpor,Mile 4,Rented,One Room,96000,96000,96000,120000,250000,350000,400000,450000,450000,700000,720000,750000,750000,800000
3/22/2024,Rivers,Obio/Akpor,Alakahia,Owned,One Bedroom Flat,350000,70000,140000,130000,200000,350000,450000,500000,650000,200000,350000,450000,550000,650000
3/22/2024,Rivers,Obio/Akpor,Rumuigbo,Rented,Two Bedroom Flat,450000,100000,190000,220000,280000,450000,600000,1200000,2000000,3500000,4000000,4500000,5500000,7000000
3/22/2024,Rivers,Obio/Akpor,Ada George,Owned,Seven bedroom Duplex,200000,82000,160000,190000,220000,370000,400000,600000,750000,450000,550000,750000,900000,1200000
3/22/2024,Rivers,Obio/Akpor,Rumunduru,Rented,One Bedroom Flat,350000,120000,200000,250000,350000,450000,600000,750000,900000,1160000,1600000,2000000,2400000,3000000
3/22/2024,Rivers,Obio/Akpor,Rukpoku,Rented,One Bedroom Flat,450000,84000,160000,200000,450000,600000,850000,100000,1200000,550000,800000,1000000,1200000,1500000
3/22/2024,Rivers,Etche,Igbo Etche,Rented,Two Rooms,100000,90000,200000,150000,250000,450000,550000,650000,750000,1000000,1500000,2000000,2500000,3000000
